longitude,latitude,country
1.601554,42.546245,Andorra
53.847818,23.424076,United Arab Emirates
67.709953,33.93911,Afghanistan
-61.796428,17.060816,Antigua and Barbuda
-63.068615,18.220554,Anguilla
20.168331,41.153332,Albania
45.038189,40.069099,Armenia
-69.060087,12.226079,Netherlands Antilles
17.873887,-11.202692,Angola
-0.071389,-75.250973,Antarctica
-63.616672,-38.416097,Argentina
-170.132217,-14.270972,American Samoa
14.550072,47.516231,Austria
133.775136,-25.274398,Australia
-69.968338,12.52111,Aruba
47.576927,40.143105,Azerbaijan
17.679076,43.915886,Bosnia and Herzegovina
-59.543198,13.193887,Barbados
90.356331,23.684994,Bangladesh
4.469936,50.503887,Belgium
-1.561593,12.238333,Burkina Faso
25.48583,42.733883,Bulgaria
50.637772,25.930414,Bahrain
29.918886,-3.373056,Burundi
2.315834,9.30769,Benin
-64.75737,32.321384,Bermuda
114.727669,4.535277,Brunei
-63.588653,-16.290154,Bolivia
-51.92528,-14.235004,Brazil
-77.39628,25.03428,Bahamas
90.433601,27.514162,Bhutan
3.413194,-54.423199,Bouvet Island
24.684866,-22.328474,Botswana
27.953389,53.709807,Belarus
-88.49765,17.189877,Belize
-106.346771,56.130366,Canada
96.870956,-12.164165,Cocos [Keeling] Islands
21.758664,-4.038333,Congo [DRC]
20.939444,6.611111,Central African Republic
15.827659,-0.228021,Congo [Republic]
8.227512,46.818188,Switzerland
-5.54708,7.539989,Côte d'Ivoire
-159.777671,-21.236736,Cook Islands
-71.542969,-35.675147,Chile
12.354722,7.369722,Cameroon
104.195397,35.86166,China
-74.297333,4.570868,Colombia
-83.753428,9.748917,Costa Rica
-77.781167,21.521757,Cuba
-24.013197,16.002082,Cape Verde
105.690449,-10.447525,Christmas Island
33.429859,35.126413,Cyprus
15.472962,49.817492,Czech Republic
10.451526,51.165691,Germany
42.590275,11.825138,Djibouti
9.501785,56.26392,Denmark
-61.370976,15.414999,Dominica
-70.162651,18.735693,Dominican Republic
1.659626,28.033886,Algeria
-78.183406,-1.831239,Ecuador
25.013607,58.595272,Estonia
30.802498,26.820553,Egypt
-12.885834,24.215527,Western Sahara
39.782334,15.179384,Eritrea
-3.74922,40.463667,Spain
40.489673,9.145,Ethiopia
25.748151,61.92411,Finland
179.414413,-16.578193,Fiji
-59.523613,-51.796253,Falkland Islands [Islas Malvinas]
150.550812,7.425554,Micronesia
-6.911806,61.892635,Faroe Islands
2.213749,46.227638,France
11.609444,-0.803689,Gabon
-3.435973,55.378051,United Kingdom
-61.604171,12.262776,Grenada
43.356892,42.315407,Georgia
-53.125782,3.933889,French Guiana
-2.585278,49.465691,Guernsey
-1.023194,7.946527,Ghana
-5.345374,36.137741,Gibraltar
-42.604303,71.706936,Greenland
-15.310139,13.443182,Gambia
-9.696645,9.945587,Guinea
-62.067641,16.995971,Guadeloupe
10.267895,1.650801,Equatorial Guinea
21.824312,39.074208,Greece
